date,year,quarter,clean_sector,raw_variable,source_file,value
2010-03-31,2010,1,Accommodation & Food Services,      Food & Beverage Services,gdp_deflators_by_industry_quarterly.csv,86.7
2010-03-31,2010,1,Accommodation & Food Services,  Food & Beverage,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",417.0
2010-03-31,2010,1,Admin & Support Services,      Administrative & Support Services,gdp_deflators_by_industry_quarterly.csv,89.1
2010-03-31,2010,1,Admin & Support Services,      Public Administration & Defence,gdp_deflators_by_industry_quarterly.csv,82.0
2010-03-31,2010,1,Arts & Recreation,"      Arts, Entertainment & Recreation",gdp_deflators_by_industry_quarterly.csv,87.4
2010-03-31,2010,1,Arts & Recreation,"  Sightseeing, Entertainment & Gaming","Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",219.0
2010-03-31,2010,1,Construction,    Construction,gdp_chained_2015_by_industry_quarterly.csv,3636.2
2010-03-31,2010,1,Construction,    Construction,gdp_chained_2015_by_industry_quarterly_sa.csv,3650.5
2010-03-31,2010,1,Construction,    Construction,gdp_chained_2015_by_industry_yoy_growth.csv,10.4
2010-03-31,2010,1,Construction,    Construction,gdp_deflators_by_industry_quarterly.csv,100.2
2010-03-31,2010,1,Cross-Border / Trade Partner,    Australia,International Visitor Arrivals By Place Of Residence.csv,208607.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Bangladesh,International Visitor Arrivals By Place Of Residence.csv,21235.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Belgium & Luxembourg,International Visitor Arrivals By Place Of Residence.csv,6085.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Brunei Darussalam,International Visitor Arrivals By Place Of Residence.csv,15076.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Canada,International Visitor Arrivals By Place Of Residence.csv,20332.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    China,International Visitor Arrivals By Place Of Residence.csv,330006.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Denmark,International Visitor Arrivals By Place Of Residence.csv,10823.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Egypt,International Visitor Arrivals By Place Of Residence.csv,1000.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Finland,International Visitor Arrivals By Place Of Residence.csv,5286.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    France,International Visitor Arrivals By Place Of Residence.csv,32043.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Germany,International Visitor Arrivals By Place Of Residence.csv,59472.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Hong Kong SAR,International Visitor Arrivals By Place Of Residence.csv,70564.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    India,International Visitor Arrivals By Place Of Residence.csv,157431.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Indonesia,International Visitor Arrivals By Place Of Residence.csv,483597.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Iran,International Visitor Arrivals By Place Of Residence.csv,15845.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Israel,International Visitor Arrivals By Place Of Residence.csv,3449.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Italy,International Visitor Arrivals By Place Of Residence.csv,12454.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Japan,International Visitor Arrivals By Place Of Residence.csv,130252.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Kuwait,International Visitor Arrivals By Place Of Residence.csv,1498.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Malaysia,International Visitor Arrivals By Place Of Residence.csv,218377.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Mauritius,International Visitor Arrivals By Place Of Residence.csv,3056.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Myanmar,International Visitor Arrivals By Place Of Residence.csv,17095.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Netherlands,International Visitor Arrivals By Place Of Residence.csv,19692.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    New Zealand,International Visitor Arrivals By Place Of Residence.csv,18475.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Norway,International Visitor Arrivals By Place Of Residence.csv,10044.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In Africa,International Visitor Arrivals By Place Of Residence.csv,5787.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In Americas,International Visitor Arrivals By Place Of Residence.csv,7090.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In Europe,International Visitor Arrivals By Place Of Residence.csv,35331.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In Greater China,International Visitor Arrivals By Place Of Residence.csv,3993.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In North Asia,International Visitor Arrivals By Place Of Residence.csv,166.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In Oceania,International Visitor Arrivals By Place Of Residence.csv,3091.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In South Asia,International Visitor Arrivals By Place Of Residence.csv,6315.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In Southeast Asia,International Visitor Arrivals By Place Of Residence.csv,8515.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Other Markets In West Asia,International Visitor Arrivals By Place Of Residence.csv,3252.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Pakistan,International Visitor Arrivals By Place Of Residence.csv,4539.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Philippines,International Visitor Arrivals By Place Of Residence.csv,109173.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Rep Of Ireland,International Visitor Arrivals By Place Of Residence.csv,5545.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Russian Federation,International Visitor Arrivals By Place Of Residence.csv,17565.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Saudi Arabia,International Visitor Arrivals By Place Of Residence.csv,1916.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    South Africa (Rep Of),International Visitor Arrivals By Place Of Residence.csv,7845.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    South Korea,International Visitor Arrivals By Place Of Residence.csv,99139.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Spain,International Visitor Arrivals By Place Of Residence.csv,7389.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Sri Lanka,International Visitor Arrivals By Place Of Residence.csv,14879.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Sweden,International Visitor Arrivals By Place Of Residence.csv,12830.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Switzerland,International Visitor Arrivals By Place Of Residence.csv,18663.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Taiwan,International Visitor Arrivals By Place Of Residence.csv,48469.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Thailand,International Visitor Arrivals By Place Of Residence.csv,79604.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    USA,International Visitor Arrivals By Place Of Residence.csv,103804.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    United Arab Emirates,International Visitor Arrivals By Place Of Residence.csv,10564.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    United Kingdom,International Visitor Arrivals By Place Of Residence.csv,146572.0
2010-03-31,2010,1,Cross-Border / Trade Partner,    Vietnam,International Visitor Arrivals By Place Of Residence.csv,60925.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  Africa,International Visitor Arrivals By Place Of Residence.csv,17688.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  Americas,International Visitor Arrivals By Place Of Residence.csv,131226.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  Europe,International Visitor Arrivals By Place Of Residence.csv,399794.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  Greater China,International Visitor Arrivals By Place Of Residence.csv,453032.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  North Asia,International Visitor Arrivals By Place Of Residence.csv,229557.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  Oceania,International Visitor Arrivals By Place Of Residence.csv,230173.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  South Asia,International Visitor Arrivals By Place Of Residence.csv,204399.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  Southeast Asia,International Visitor Arrivals By Place Of Residence.csv,992362.0
2010-03-31,2010,1,Cross-Border / Trade Partner,  West Asia,International Visitor Arrivals By Place Of Residence.csv,36524.0
2010-03-31,2010,1,Education & Health,      Education,gdp_deflators_by_industry_quarterly.csv,93.9
