clean_sector,clean_region,year,quarter,frequency,raw_variable,value,source_file,date
Accommodation & Food Services,Singapore / Total,2010,1,quarterly,      Food & Beverage Services,86.7,gdp_deflators_by_industry_quarterly.csv,2010-03-31
Accommodation & Food Services,Singapore / Total,2010,1,quarterly,  Food & Beverage,417.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2010-03-31
Accommodation & Food Services,Singapore / Total,2010,2,quarterly,      Food & Beverage Services,87.3,gdp_deflators_by_industry_quarterly.csv,2010-06-30
Accommodation & Food Services,Singapore / Total,2010,2,quarterly,  Food & Beverage,889.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2010-06-30
Accommodation & Food Services,Singapore / Total,2010,3,quarterly,      Food & Beverage Services,89.2,gdp_deflators_by_industry_quarterly.csv,2010-09-30
Accommodation & Food Services,Singapore / Total,2010,3,quarterly,  Food & Beverage,1390.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2010-09-30
Accommodation & Food Services,Singapore / Total,2010,4,quarterly,      Food & Beverage Services,0.1,gdp_contribution_to_growth_by_industry.csv,2010-12-31
Accommodation & Food Services,Singapore / Total,2010,4,quarterly,      Food & Beverage Services,3473.5,gdp_current_prices_by_industry.csv,2010-12-31
Accommodation & Food Services,Singapore / Total,2010,4,quarterly,      Food & Beverage Services,88.2,gdp_deflators_by_industry_annually.csv,2010-12-31
Accommodation & Food Services,Singapore / Total,2010,4,quarterly,      Food & Beverage Services,89.4,gdp_deflators_by_industry_quarterly.csv,2010-12-31
Accommodation & Food Services,Singapore / Total,2010,4,quarterly,  Food & Beverage,1903.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2010-12-31
Accommodation & Food Services,Singapore / Total,2011,1,quarterly,      Food & Beverage Services,89.4,gdp_deflators_by_industry_quarterly.csv,2011-03-31
Accommodation & Food Services,Singapore / Total,2011,1,quarterly,  Food & Beverage,546.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2011-03-31
Accommodation & Food Services,Singapore / Total,2011,2,quarterly,      Food & Beverage Services,90.2,gdp_deflators_by_industry_quarterly.csv,2011-06-30
Accommodation & Food Services,Singapore / Total,2011,2,quarterly,  Food & Beverage,1091.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2011-06-30
Accommodation & Food Services,Singapore / Total,2011,3,quarterly,      Food & Beverage Services,91.1,gdp_deflators_by_industry_quarterly.csv,2011-09-30
Accommodation & Food Services,Singapore / Total,2011,3,quarterly,  Food & Beverage,1675.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2011-09-30
Accommodation & Food Services,Singapore / Total,2011,4,quarterly,      Food & Beverage Services,0.1,gdp_contribution_to_growth_by_industry.csv,2011-12-31
Accommodation & Food Services,Singapore / Total,2011,4,quarterly,      Food & Beverage Services,3894.6,gdp_current_prices_by_industry.csv,2011-12-31
Accommodation & Food Services,Singapore / Total,2011,4,quarterly,      Food & Beverage Services,90.7,gdp_deflators_by_industry_annually.csv,2011-12-31
Accommodation & Food Services,Singapore / Total,2011,4,quarterly,      Food & Beverage Services,91.9,gdp_deflators_by_industry_quarterly.csv,2011-12-31
Accommodation & Food Services,Singapore / Total,2011,4,quarterly,  Food & Beverage,2239.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2011-12-31
Accommodation & Food Services,Singapore / Total,2012,1,quarterly,      Food & Beverage Services,92.3,gdp_deflators_by_industry_quarterly.csv,2012-03-31
