date,year,quarter,mapped_sector,ERI_Score_V1,Score_Res_V1,Score_Abs_V1,Score_Rec_V1,ERI_Score_V2,Score_Res_V2,Score_Abs_V2,Score_Rec_V2,Digital_Adoption
2019-12-31,2019,4,Accommodation & Food Services,0.7538246324770079,1.0,0.9162575468531844,0.263157894736842,0.756821101348646,1.01,0.9594370107673812,0.273157894736842,
2020-03-31,2020,1,Accommodation & Food Services,0.7194220201556475,0.943631975992054,0.8898974325294196,0.2499999999999999,0.6746992817866969,0.8505797101449275,0.91859164073872,0.2599999999999999,
2020-06-30,2020,2,Accommodation & Food Services,0.6784352616708188,0.9239933719330362,0.7926176043955231,0.2368421052631578,0.5959526861285349,0.865072463768116,0.6727005049257049,0.2468421052631578,
2020-09-30,2020,3,Accommodation & Food Services,0.668304583579074,0.9116882785885804,0.7884133632858237,0.2236842105263157,0.5861731553196188,0.8795652173913043,0.6645044403198244,0.2336842105263157,
2020-12-31,2020,4,Accommodation & Food Services,0.6626346493732136,0.9038583752156454,0.7931113485003778,0.2105263157894736,0.5655577944960085,0.8940579710144927,0.6255058280863488,0.2205263157894736,
2021-03-31,2021,1,Accommodation & Food Services,0.6623901729906154,0.9038583752156454,0.7922964272250509,0.2105263157894736,0.5641816367939432,0.8940579710144927,0.62142075949787,0.2205263157894736,
2021-06-30,2021,2,Accommodation & Food Services,0.6610770990424985,0.9038583752156454,0.7879195140646608,0.2105263157894736,0.5819014060464889,0.8940579710144927,0.6754693062819517,0.2205263157894736,
2021-09-30,2021,3,Accommodation & Food Services,0.6611654412250051,0.9038583752156454,0.7882139880063495,0.2105263157894736,0.594333307006734,0.8940579710144927,0.7152972887040742,0.2205263157894736,
2021-12-31,2021,4,Accommodation & Food Services,0.663121539361161,0.9038583752156454,0.7947343151268694,0.2105263157894736,0.5964413546024556,0.8940579710144927,0.7222100078613878,0.2205263157894736,
2022-03-31,2022,1,Accommodation & Food Services,0.6626464376244886,0.8999025604705764,0.795135588647176,0.2138157894736841,0.5988098658395912,0.8904347826086957,0.7232081284313654,0.2238157894736841,
2022-06-30,2022,2,Accommodation & Food Services,0.6603706590868439,0.8962711395628997,0.7891020810477187,0.2171052631578946,0.5985085595797286,0.8868115942028986,0.7156381337415999,0.2271052631578946,
2022-09-30,2022,3,Accommodation & Food Services,0.6591250404946261,0.8929311003237912,0.7861139310415934,0.2203947368421052,0.598989794156019,0.8831884057971015,0.7108336025468625,0.2303947368421052,
2022-12-31,2022,4,Accommodation & Food Services,0.6423167648018246,0.8898559317474132,0.7308970964832157,0.2236842105263157,0.5932812052169711,0.8795652173913043,0.68658130147856,0.2336842105263157,
2023-03-31,2023,1,Accommodation & Food Services,0.6518776681753472,0.899452682071116,0.7368132125598449,0.2368421052631578,0.5992708803820753,0.865072463768116,0.6829305380129589,0.2468421052631578,
2023-06-30,2023,2,Accommodation & Food Services,0.6843844923008296,0.9133391105333976,0.8134961602915689,0.2499999999999999,0.6605129280673254,0.8505797101449275,0.8660466792843465,0.2599999999999999,
2023-09-30,2023,3,Accommodation & Food Services,0.6964138240051845,0.934176329238014,0.812653079629754,0.263157894736842,0.7104180205272466,0.9485124538098654,0.8730789543157316,0.273157894736842,
2023-12-31,2023,4,Accommodation & Food Services,0.7198383675124616,0.9759645938039114,0.8218593104959724,0.2763157894736841,0.7420211767756159,0.9955072463768116,0.8825408517909143,0.2863157894736841,
2024-03-31,2024,1,Accommodation & Food Services,0.7196269527415656,0.9759645938039114,0.8211545945929859,0.2763157894736841,0.742100683565149,0.9955072463768116,0.8828075020425874,0.2863157894736841,
2024-06-30,2024,2,Accommodation & Food Services,0.7240631923530908,0.9759645938039114,0.8359420599647367,0.2763157894736841,0.7512590412849908,0.9955072463768116,0.9139019455292782,0.2863157894736841,
2024-09-30,2024,3,Accommodation & Food Services,0.7254378381266833,0.9759645938039114,0.8405242125433783,0.2763157894736841,0.7569254606434939,0.9955072463768116,0.9335198098947538,0.2863157894736841,
2024-12-31,2024,4,Accommodation & Food Services,0.7244916515878208,0.9759645938039114,0.8373702574138366,0.2763157894736841,0.752570779913859,0.9955072463768116,0.9184174273410116,0.2863157894736841,
2019-12-31,2019,4,Admin & Support Services,0.6109281019796806,0.7323530438705476,0.8625878603855737,0.1973684210526315,0.5579082065686027,0.691159420289855,0.9038784216528344,0.2073684210526315,
2020-03-31,2020,1,Admin & Support Services,0.6044730703265921,0.7389086584750555,0.8586460582096191,0.1710526315789473,0.5509884549232654,0.7456114956291854,0.9049204473801324,0.1810526315789473,
2020-06-30,2020,2,Admin & Support Services,0.5878270417731452,0.7502167317269121,0.8143976548360047,0.1447368421052631,0.5131888466345247,0.7911642192675145,0.809952745562408,0.1547368421052631,
2020-09-30,2020,3,Admin & Support Services,0.5873693147606996,0.7669680910368029,0.8168525418550161,0.1184210526315788,0.4896267380676863,0.8306508668512819,0.8084075902513205,0.1284210526315788,
2020-12-31,2020,4,Admin & Support Services,0.5961087284787541,0.7904641866485965,0.8409715829064898,0.0921052631578946,0.4578981522673266,0.865072463768116,0.8095920380281011,0.1021052631578946,
2021-03-31,2021,1,Admin & Support Services,0.5981306033792224,0.8054764816501127,0.8408526673095386,0.0789473684210525,0.4367045995277735,0.876383413662422,0.80906745905789,0.0889473684210525,
