,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Changes In Employment By Sector, (Compared To The Previous Period), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 
Total Changes In Employment,59800,96700,260300,26200,-181000,69500,45300,-3600,17100,32400,130100,136200,129100,122600,115900,37600,221600,234900,176000,113300,71400,-12900,-22900,-100,108500,39900,-23400,120300,102600,109000,72100,70800,40300,52400
  Goods Producing Industries,9800,32000,125000,1000,-88900,10100,-9400,-50000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Manufacturing,-900,2200,33900,-2000,-37000,-2100,-2100,-11100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Construction,11500,29200,91000,2600,-51800,12400,-7100,-38400,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Others,-900,600,100,500,-100,-200,-200,-600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Services Producing Industries,50000,64600,135300,25200,-92100,59400,54700,46400,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Wholesale & Retail Trade,-5400,5600,9400,-9300,-22700,-4100,1800,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Wholesale Trade,-3400,3700,6000,-9700,-13100,-2400,3800,1500,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Retail Trade,-1900,1900,3400,400,-9600,-1700,-2000,-1500,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
