,,,,,,,
Theme: Trade & Investment,,,,,,,
Subject: Trade in Services (TIS),,,,,,,
Topic: Import of Services,,,,,,,
"Table Title: Imports Of Services By Industry And Services Category, Annual",,,,,,,
,,,,,,,
Data last updated: 31/07/2025,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,,Million Dollars
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 
Manufacturing,54083.2,53097.2,48032.2,41456.1,37849.9,34057.6,31842.6
  Manufacturing Services On Physical Inputs Owned By Others,9555.6,11427,na,9139.6,8032.8,7555.8,8101.7
  Maintenance & Repair Services,1055,882.9,707,677,1017.6,845,725.4
  Transport,2703.3,2507.3,1800.8,722.1,648.8,652,405.7
  Insurance,49,37.9,32.7,29.6,30.9,23.5,20
  Construction,44.8,85.2,na,44.3,na,na,na
  Financial,254.3,na,na,33.9,36.3,20.2,12.3
"  Telecommunications, Computer & Information",886.3,630.6,527.9,563.6,437.5,380.3,600.2
  Charges For The Use Of Intellectual Property,9787.8,9686.7,10003.2,9840.2,9385.7,9047.2,8220.5
  Personal Cultural & Recreational Services,17.1,na,5.9,5.1,na,na,na
  Trade-Related,1959.8,1582.8,1099.8,1048.6,1083.7,964.1,1152.2
  Business Management,9405.6,8423.8,7491.6,7746.3,6829.8,6276.2,5627.3
  Other Services,18364.5,17596.1,15776.7,11605.8,10284.9,8232.7,6916.6
Construction,758,521.1,515,564.9,646,538.7,398.7
  Manufacturing Services On Physical Inputs Owned By Others,-,-,-,-,-,na,na
  Maintenance & Repair Services,4.7,3.7,2.4,na,2.5,1.4,na
  Transport,50.6,na,19.9,12.1,31.8,10.7,6.4
  Insurance,1.8,na,na,0.4,0.3,na,na
  Construction,298,223.5,265.3,272.4,214.1,146.2,87.7
  Financial,2.4,na,0.9,1.1,0.5,0.2,-
"  Telecommunications, Computer & Information",17,na,na,na,na,na,1
  Charges For The Use Of Intellectual Property,24.6,na,18.3,13.8,18.4,na,na
  Personal Cultural & Recreational Services,0.3,-,-,na,na,na,-
  Trade-Related,12.8,0.4,0.3,na,na,na,-
  Business Management,62.7,51,45.4,100.8,na,123,na
  Other Services,283.1,135.8,147.8,152.3,285.8,230.7,193
Wholesale Trade,114268.7,109692.2,85835.8,80504.7,63574.2,60821.5,56386.5
  Manufacturing Services On Physical Inputs Owned By Others,238.9,273.3,na,503.5,438.4,na,na
  Maintenance & Repair Services,27.3,19.5,23.7,23,24,26.3,19.2
  Transport,61979.3,60605.2,42356.6,38099.1,28929.9,28361.7,26025.3
  Insurance,592.6,382.5,376.5,313.8,262.2,251.9,209.3
  Construction,na,na,na,na,na,na,na
  Financial,804.4,995.6,396.2,797.5,526.3,473.9,270.8
"  Telecommunications, Computer & Information",2015.9,1654.6,1488.1,1486,1000.7,1127.9,1027
  Charges For The Use Of Intellectual Property,8402.9,9211.9,8102.6,8133.7,7707,5716.9,4744.3
  Personal Cultural & Recreational Services,na,na,0.7,na,na,na,na
  Trade-Related,12541.8,14275.2,13303.7,11802,10000.6,11250.2,10750.1
  Business Management,8031.8,7059,6926.4,6363,6659.9,6783.7,5764
  Other Services,19597.4,15172.6,12638.9,12979.1,8017.2,6230.9,6893.8
Transport & Storage Services,84956.9,87634.8,70210.6,55660.6,56330.8,56650.7,44072.7
  Manufacturing Services On Physical Inputs Owned By Others,-,-,-,-,-,-,-
  Maintenance & Repair Services,748.3,662,495,520.4,476.5,448.6,352.2
  Transport,76751.4,78253.8,64602.8,51169.2,50987.9,50521.4,38084.2
  Insurance,101.2,85.8,73.5,93.7,100.3,99.9,102.2
  Construction,na,na,-,-,-,-,-
  Financial,20.7,37.5,na,na,53.1,39.9,48.1
"  Telecommunications, Computer & Information",353.7,408.7,262,189.4,172.6,187.1,138.7
  Charges For The Use Of Intellectual Property,31.9,na,36.6,22.2,26.8,23.4,20.1
  Personal Cultural & Recreational Services,27.6,18.5,15.5,14.3,12.9,11.3,5.6
  Trade-Related,na,na,na,na,-,-,-
  Business Management,636.9,537,488.7,502.4,424,347.1,356
  Other Services,6280.2,7589.8,4218,3086.2,4076.7,4971.9,4965.6
Information & Communications Services,70078.6,62016.1,58010,44511.2,36021.6,32323.7,30269.5
  Manufacturing Services On Physical Inputs Owned By Others,-,-,-,-,-,-,-
  Maintenance & Repair Services,-,-,-,-,-,-,-
  Transport,926,1034.3,582.7,384,37.7,13.6,8.6
  Insurance,12.1,7.8,6.4,5.7,na,3.6,1.7
  Construction,-,-,-,-,-,-,-
  Financial,699.5,295.1,304.7,158.1,116.2,48.7,16.8
"  Telecommunications, Computer & Information",29013.7,24452.4,25563,21857.4,14812.4,11911.2,11638.9
  Charges For The Use Of Intellectual Property,3385.4,2698.2,2635.4,1929,2028.9,5870.9,6026.3
  Personal Cultural & Recreational Services,176.6,351.6,148.4,163.3,100.7,100.6,100.1
  Trade-Related,3562.6,3709.6,3371.4,1630.6,1660.1,3261.1,3078.9
  Business Management,10634.6,9824.6,7495.8,5409,na,3932,4147.8
  Other Services,21668.1,19642.6,17902.2,12974,11109.7,7182.1,5250.4
Financial & Insurance Services,45596.1,40088.9,35524.7,33039.8,25749.9,23876.9,20935.8
  Manufacturing Services On Physical Inputs Owned By Others,-,-,-,-,-,-,-
  Maintenance & Repair Services,na,na,na,-,na,na,-
  Transport,43.3,30.1,29.1,41.7,31.3,7.6,9
  Insurance,5897.9,7947.2,5416.1,6993.9,5561.2,4945,4065
  Construction,-,-,-,-,-,-,-
  Financial,17589.3,13940.2,12863.2,11751.6,8495.4,7658.6,6756.7
"  Telecommunications, Computer & Information",5139.3,3990.8,4034.7,3312.8,2621.6,2340.9,2090
  Charges For The Use Of Intellectual Property,475.8,328.6,253.5,592.6,686.2,na,na
  Personal Cultural & Recreational Services,94,82.6,42,48.4,19.5,17.9,17.7
  Trade-Related,na,na,na,8.1,na,na,na
  Business Management,12617.9,10303.4,9454.9,7382.5,6252.3,5368.5,4818.6
  Other Services,3713.2,3361.1,3363.7,2908.3,2076.1,2299.9,1838.5
Professional Services,17937.6,15454.6,12822.2,11126.4,10789.9,9505.4,9612.7
  Manufacturing Services On Physical Inputs Owned By Others,na,-,-,-,-,-,-
  Maintenance & Repair Services,18,0.4,-,na,na,0.2,3.5
  Transport,127.1,na,71.2,44.7,58.4,44.4,27.4
  Insurance,19,13.8,12.9,11.9,9.8,10.9,10.2
  Construction,491.4,416.2,410.2,337,338.3,503.6,339.7
  Financial,80.7,41.4,53.9,20.5,32.1,29.2,7.9
"  Telecommunications, Computer & Information",3179.4,2995.7,na,na,na,na,na
  Charges For The Use Of Intellectual Property,308.7,237.6,593.1,161.3,297.7,190.9,173.5
  Personal Cultural & Recreational Services,na,na,na,na,na,na,na
  Trade-Related,81.8,72.5,75.9,211.4,170.9,82.5,98.2
  Business Management,6823.4,5348.6,3168.2,3090.8,2889.1,2212.3,1840.4
  Other Services,5861.6,5336.5,4530.2,3690.8,3364.7,2991.6,2451.8
Admin & Support Services,1360.2,1074.1,1068.9,1051.4,4343.5,9156.8,14184.7
  Manufacturing Services On Physical Inputs Owned By Others,na,na,-,-,-,-,-
  Maintenance & Repair Services,15.9,14.7,14.6,17.8,24.6,10.7,8
  Transport,79.1,67.4,60.5,72.8,86.9,111.2,135.8
  Insurance,13.9,11,10.5,9.6,na,15.2,na
  Construction,na,-,-,-,-,-,-
  Financial,26.6,25.7,17.3,16.4,9.1,11.2,7.2
