,,,,,,,
Theme: Trade & Investment,,,,,,,
Subject: Trade in Services (TIS),,,,,,,
Topic: Export of Services,,,,,,,
"Table Title: Exports Of Services By Industry And Major Trading Partner, Annual",,,,,,,
,,,,,,,
Data last updated: 31/07/2025,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,,Million Dollars
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 
Manufacturing,21413.6,19956.2,17566.2,15565.5,17278.9,16518,13283.1
  America,5415,5142.5,4747.4,4497.7,4706.5,3820.9,3662.9
    United States Of America,4954.4,4693,4372,4081.9,4224.3,3335.5,3370.1
  Asia,7563.3,6323,5715.1,5817.9,6514.3,4904.8,3891.5
    Hong Kong,314.7,303.2,306.4,260.4,314.6,265.3,272.9
    India,436.5,267.9,264.4,282,437.5,355.5,361.2
    Indonesia,482.3,439,266.9,201.6,404.5,256.2,219.5
    Japan,1356.7,1031.8,984.1,1454.7,1326.2,678.5,473.2
    Mainland China,1544.9,1369.5,1403,1202.3,1242.3,1131.4,888.6
    Malaysia,719.5,554.3,461.3,484.5,542.2,562.8,461.8
    Philippines,310.1,141,94.8,111.2,139.9,91.9,95
    Republic Of Korea,629.7,356.9,289.3,247.5,268.1,204.6,161
    Thailand,434.1,309.6,259.7,278.1,460.3,283,207.9
    United Arab Emirates,210.8,308.7,195.9,251.3,231,160.2,93.1
  Europe,6643.4,6645.5,5616.6,3878.3,4279.6,6450.1,4687.7
    France,746.5,420.3,352.4,428.1,503.7,865.3,651.6
    Germany,718,574.8,490.4,414,478.7,379.7,359.8
    Netherlands,349.9,395.3,298.3,327.5,300,272.8,400.3
    United Kingdom,1119.7,1419.8,1139.9,409.9,694.2,2790,1812
  Oceania,1061.9,1352.4,1120.7,1047.3,1362.2,985.5,759.9
    Australia,793.3,894.2,745.4,682.8,944.4,659.4,500.8
  ASEAN,2274.2,1667,1292.3,1278.9,1807.3,1419.1,1206.1
  European Union (EU-27),4061.6,3698.1,2971.8,2079.4,2075.5,2307,2010.9
Construction,1312.2,1017.8,800,872.1,1085.5,945.9,516.3
  America,46,27.8,28.5,12.9,8.3,14.6,8.2
    United States Of America,33.1,23.1,16.9,10.1,7.3,12.2,8
  Asia,922.3,771,659.3,705.2,878.3,794.4,405.4
    Hong Kong,19.5,35.4,17.1,15.7,14.4,15.9,6.2
    India,18.1,7.3,6.9,9.1,8,3.2,2.2
    Indonesia,66.7,44.8,32.5,46.4,56.1,55.4,37.2
    Japan,171.4,175.8,na,na,na,48.5,43.9
    Mainland China,25.3,17.5,17.8,18.9,11.6,5.3,2.5
    Malaysia,107.6,98.9,64.5,55.5,56.3,162.9,38.6
    Philippines,52.2,33.6,25.6,29,40.3,86.9,43.7
    Republic Of Korea,na,25.5,9.7,9.7,11.8,5.7,na
    Thailand,61,91.1,50.2,32.6,26.5,23,17.2
    United Arab Emirates,1.4,na,2.4,1,0.5,na,3.5
  Europe,na,169.7,na,94.3,96.6,76,65.5
    France,76.3,77.1,3.5,na,4.5,3.8,na
    Germany,12,4.5,4.8,10.9,12.2,na,na
    Netherlands,3.7,3.9,4.3,5.1,4,3.5,1.9
    United Kingdom,9.9,2.7,2.3,1.4,1.4,na,na
  Oceania,na,na,na,na,101.1,na,na
    Australia,na,na,na,na,88.5,na,na
  ASEAN,431.8,356.1,405.3,496,601.7,589.3,267.2
  European Union (EU-27),220.7,162.2,na,81.8,na,na,64.2
Wholesale Trade,35335.5,27349.6,23346.7,20579.9,18691.5,18164.3,16486.3
  America,2820.8,1225.4,988.8,1228.2,1341.7,1292.8,1276.8
    United States Of America,2274.5,883.5,730.2,838.8,884.8,956.7,867.6
  Asia,7772.6,6988,5836,5204.3,6423.6,5160.5,4019.2
    Hong Kong,709.7,363,336.9,452.2,417.7,509.4,436.9
    India,428.9,315,277.4,139.6,226.9,413.8,223.2
    Indonesia,566.8,448.6,351.9,361.5,428.2,288.5,241.1
    Japan,2073.5,1752.6,1434,1016.6,1570.9,1481.9,1034.9
    Mainland China,1463.5,1688.9,1664.7,1609.9,1024.3,775.6,795.8
    Malaysia,430.8,345.5,318.7,256.7,283.2,257.9,208.9
    Philippines,180.6,204.2,179.5,186,141.5,134.7,64
    Republic Of Korea,492.8,899.7,453.8,392.8,424.6,285.1,218.5
    Thailand,400.9,342.4,223.5,209,217.2,309,260.5
    United Arab Emirates,413.5,141.6,85.8,114.1,57.5,68.8,55.5
  Europe,na,16599.3,na,12246.6,9405.9,9979.2,9379.7
    France,135.2,87.5,114.2,na,66,65.6,46.5
    Germany,382.2,262.3,179.6,208.4,297.1,402.1,378.2
    Netherlands,636.4,643.6,568.2,559.1,680.4,687.3,718.1
    United Kingdom,1132.2,1690,810.4,987.3,646.6,605.3,417.2
  Oceania,2186.3,1805.1,1568.6,1093.5,1125.6,1012.9,1183.1
    Australia,2055.5,1724.7,1493.7,1020.6,1042.6,941.3,1089.6
  ASEAN,1766.9,1506,1282.4,1260.5,1338.6,1280.5,990.5
  European Union (EU-27),na,na,na,na,na,na,na
Transport & Storage Services,151801.6,190602.5,144976.1,94458.8,94467.4,89033.2,70474.5
  America,29872.9,48660.9,37986,19951.5,16904.2,16173.2,9770.7
    United States Of America,20346.1,36312.7,27040.7,15002.7,12264.8,12371.9,6824
  Asia,56251.3,67794.6,52711.7,34766.1,37280.5,36734.3,30002.1
    Hong Kong,5703.6,9029.6,6851.5,3030.6,2905.5,2518.8,2069.9
    India,4555.4,5065.9,3938.2,2882.7,2823.9,2584.9,2431.7
    Indonesia,2840.6,2535.8,1578,1460.5,2021,1847.6,1690.8
    Japan,7256.2,9870.9,7668.5,4971.5,4894.9,4662.1,3370.8
    Mainland China,15124.8,18922.6,16147.7,10649.5,11881,13525.7,10269.3
    Malaysia,2805.1,2690.3,2031.8,1675.4,1782,1608.9,1472.5
    Philippines,1581.1,1299.6,879.1,750.5,814.6,757.8,665.3
    Republic Of Korea,2731.2,3106.3,2325.1,1786.9,1969.6,1883.5,1370.5
    Thailand,2171,2799.8,2158.7,1460.6,1702,1597.4,1340.7
    United Arab Emirates,3978,3362.3,2372.8,1516,1380.6,1009.2,948.3
  Europe,29321.5,36605.1,27857.1,18386.2,18943,16953.2,12786.5
    France,1275.3,1508.4,1183,722.8,838,521.7,554.4
    Germany,2957.9,4260.1,3174.4,1900,2018.4,1771.9,1096.2
    Netherlands,2831,4282.4,3366.4,1888.1,1594.6,1461.8,784.3
    United Kingdom,5117.3,6942,5211.1,3065.4,3546.4,2728.4,2112.8
  Oceania,11081.8,13193.6,8800.1,6907.9,8982.3,7814.8,7470.9
    Australia,7745.2,9565.1,6501.9,4975.9,6763.2,5923.8,5816.6
  ASEAN,11626.4,12135.2,8695.1,6797.6,7895.8,7261,6569.7
  European Union (EU-27),13588.7,17351.1,13377.9,8753.7,8458.6,7562.2,5541.3
Information & Communications Services,101782.5,94332.3,80563.8,60756.7,50500.4,46220,34866.5
  America,10707.3,9760.5,7884.3,6079.3,4421.4,3955.7,2678.3
    United States Of America,8688.5,7550.4,6133.7,5042.5,3725.8,3726.6,2580.5
  Asia,51296.7,53342,47003.5,35500.4,29289.7,24023.9,19533.1
    Hong Kong,6455.8,4057.1,3665.5,4499,1958.2,1495,1056.9
    India,1468.4,1470.5,1126.7,946.9,839.5,670.3,596.2
    Indonesia,1555.2,2491.9,2025.9,1320.6,1431.3,1134.5,974.9
    Japan,na,na,na,na,na,na,na
