,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Trade & Investment,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Trade in Services (TIS),,,,,,,,,,,,,,,,,,,,,,,,
Topic: Export of Services,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Exports Of Services By Major Trading Partner, Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/03/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Asia,170787.7,174243.3,147125.9,115989.3,114573.1,104182.5,85093.3,70461.8,69881.1,62802.7,55949.9,50496.3,48318.2,46254.5,40325.3,43935.5,39789.5,33098,28070.4,25457.1,18942,17741.7,16226.5,15816.9
Bangladesh,985.7,903.9,674.8,581.6,642.4,664,547.7,482.6,424.3,384.3,347.5,349.1,333.5,272.6,209.3,264.8,284,285.5,274.6,188.9,157,118.3,121.8,89.7
Brunei Darussalam,960.1,891.2,579,533.4,556.4,495.9,463.9,420.5,465.4,520.4,474.4,464.1,468.5,508.1,324.4,272.6,248.3,120.6,123.3,138.6,151.4,144.3,97.8,100.5
Cambodia,475.6,389.5,256,250.3,259.1,290.4,226.8,196.1,114.3,86.3,89.2,115,109.2,78.4,99.3,139.7,88.1,110.8,77.1,68.7,45.3,37.9,29.8,18.4
Hong Kong,21686.1,21307.3,18126.2,15063.2,11273.2,10466.3,8239.5,7351.8,7260,5841.4,5184.6,5156.3,5104.8,4928.8,4344.5,4676.6,4429.7,3555.3,2790.5,2313.7,2059.7,1912,1866.5,1860.6
India,9909.4,9730.1,7817,6337.6,6383.4,5957.8,5326.3,4422.4,4236.4,4276,4857.4,4375,4244.7,4089.3,3712.2,3502.5,3191.3,2448.5,2084.6,1742.1,1241.4,907.6,735.4,746.8
Indonesia,8542.6,8366.6,6222.5,5351.4,6781.8,5895.2,5615.7,5088.6,5032,4837.1,4535.8,4062.7,3537.8,3291.1,3642.6,3321.9,3026,2969.8,2364.4,2231.8,1767.5,1801.4,1707.5,1607.9
Israel,819.6,587.4,500.2,354.7,257.1,243.1,254.6,231.3,175.7,159.2,155.1,146.4,132,114.2,89.2,93.3,136.5,102.8,90.4,87.6,63,51.5,24.6,28.9
Japan,43227.6,42043,37033.4,29879.7,27964.3,24423.4,19316.8,14737.9,13925.6,11259.2,9310.7,8251.8,7539.2,6650.2,5505.6,7332.4,7616.3,6959.5,5803.5,5596.5,3577.2,3235.7,3093.4,3255.6
