,,,,,,,
Theme: Trade & Investment,,,,,,,
Subject: Trade in Services (TIS),,,,,,,
Topic: Import of Services,,,,,,,
"Table Title: Imports Of Services By Industry And Major Trading Partner, Annual",,,,,,,
,,,,,,,
Data last updated: 31/07/2025,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,,Million Dollars
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 
Manufacturing,54083.2,53097.2,48032.2,41456.1,37849.9,34057.6,31842.6
  America,25107.5,23268.8,23168.7,19207.1,18951.3,15449,13097.1
    United States Of America,23236.5,22053.1,21153.5,17184.5,16468.8,14245.8,11761.8
  Asia,16751.2,17640.4,16240.8,13108.7,10289.8,9871.8,10269.2
    Hong Kong,338.2,218.9,337.9,356.3,315.3,263.1,300.9
    India,1417.5,1217.4,1043.8,518.4,393.2,219.9,203.9
    Indonesia,549.2,493.5,531.6,499.8,412.1,334.1,326.3
    Japan,1215.6,1364.2,1689.2,1691.1,1129.7,1027.3,1006.6
    Mainland China,4417.3,4816.1,4239,2981.3,2498.7,2889.2,2675.4
    Malaysia,2050.7,1863.5,1590.9,1432.1,1199.5,1017.8,1302.3
    Philippines,391.2,362,268.8,241.9,305.8,370.5,450.3
    Republic Of Korea,970.9,1141.7,761.6,635.3,574.9,544.1,573.1
    Thailand,847.6,908.8,748.7,959.4,652.7,573.2,541.4
    United Arab Emirates,93.5,57.5,69.5,70.8,74.9,138.1,128.1
  Europe,10659.5,10056.7,7636.4,8447.4,8168.7,8149.6,7968.1
    France,1020,1009.4,583.3,627,572,531.7,516.8
    Germany,1151,1084.3,955.5,866.5,836.6,584.1,569.7
    Netherlands,1482,1545,895.5,1339.8,2191.2,1822.5,1610.4
    United Kingdom,1862.2,1569.8,1046.1,1100,769,552.7,636.3
  Oceania,674.6,814.1,579,518.2,220.6,408.8,394
    Australia,664.6,793.5,572.2,509.4,207.7,400,385.7
  ASEAN,3963.1,3727,3198.5,3235.8,2625.2,2377.5,2710.8
  European Union (EU-27),6172.3,6002.9,4396.2,5003,4954.4,5248.2,4516.8
Construction,758,521.1,515,564.9,646,538.7,398.7
  America,20.6,9,13.5,na,na,7.3,na
    United States Of America,20.2,8.5,na,na,3.9,7.2,na
  Asia,441.4,286.5,350,343.1,295.1,237.5,171.9
    Hong Kong,31.7,na,20.8,13.4,10.8,18.7,11
    India,11.3,3.4,2.3,2,7.7,2.9,0.6
    Indonesia,61.8,23.9,16.5,19,23.6,19.9,19.3
    Japan,na,23.9,na,na,na,33.3,10.8
    Mainland China,18.9,13.9,12.2,na,12.2,5.5,2.8
    Malaysia,94,32.7,34.3,13.7,15.1,na,10.7
    Philippines,13.8,7.1,8.6,8.6,8.2,10.7,16.5
    Republic Of Korea,14.1,6.7,na,na,6.9,2.4,2.1
    Thailand,17.7,12.6,15.9,11.4,7.9,6.7,na
    United Arab Emirates,7.2,5.6,2.4,1.2,1.5,2.9,3
  Europe,271,207.4,131.3,204.5,330.8,281.7,198.9
    France,73.3,na,10.3,19.9,na,27,14.9
    Germany,22.6,10.4,9.4,14,10.7,3.9,1.3
    Netherlands,na,na,na,na,na,na,na
    United Kingdom,47.1,na,10.5,na,2.4,2.2,na
  Oceania,23.3,12.4,9.7,13.5,15.7,12.1,11.7
    Australia,15.7,7,5.2,5,7.2,3.6,3.4
  ASEAN,256.9,112.7,181.4,258.1,226.2,152,104
  European Union (EU-27),211,169.4,115.3,182.3,321.5,270.6,140.8
Wholesale Trade,114268.7,109692.2,85835.8,80504.7,63574.2,60821.5,56386.5
  America,35651.7,26607.6,20684.8,21580,12440,10003.6,11787.6
    United States Of America,31812.9,23457,18432.9,18820.8,10709.8,7940,9072.3
  Asia,33211.4,33661.9,26040.9,22593.3,20013.6,20428.4,17198.8
    Hong Kong,2359.9,2468.6,3693.2,2505.7,2017.6,2384.9,2007.7
    India,1883.8,1920.8,1417.5,1562.6,1527.2,1403.2,1283.8
    Indonesia,746.3,715.8,666.2,656.5,509.9,612.9,524.3
    Japan,2435.2,2836.6,2601.9,2492.6,2599.4,3212,2165.2
    Mainland China,13274.5,15200.8,8639.8,7075.6,5414,4578,4166.5
    Malaysia,986.8,1072.6,837.9,696.8,709.3,884.4,799
    Philippines,523.4,469.4,285,245.3,213.5,211.1,216.1
    Republic Of Korea,1937.8,1871.3,1661.9,1362.1,1392,1559.7,1294.4
    Thailand,694,986.8,1137.8,1076.5,910.5,990.6,851.1
    United Arab Emirates,3198.2,1550.7,973.6,1053.2,850.8,950.2,925.1
  Europe,21039.2,21307.5,19270.9,19163.7,16727.1,16076.1,14487.1
    France,1495.8,1854.2,2411.4,2304.3,na,1874.1,1395.6
    Germany,1351,1075.4,1118.5,1017.2,1763.6,1210.8,974.5
    Netherlands,2350.2,2434.9,2297.1,2187.2,2394.4,4360.1,3801
    United Kingdom,3547.7,3910.9,3721.4,3816.6,2026.2,2002.6,2079.2
  Oceania,2947.8,3030.9,2449,2340.5,2368.7,2035,2044.2
    Australia,1746.1,1673.8,1454.9,1177.8,1452.5,1415.9,1415.2
  ASEAN,3577.4,4445.1,3954.6,3942.8,3483.1,3704.6,3135.2
  European Union (EU-27),12229.8,11397.5,10754.1,10619.2,10342.4,9943,8332.8
Transport & Storage Services,84956.9,87634.8,70210.6,55660.6,56330.8,56650.7,44072.7
  America,14880.9,14462.5,12349.4,11408.5,13745.2,14255.4,10730.9
    United States Of America,7996,7655.6,6569.1,7098.7,9201.6,10362.4,7353.7
  Asia,36254.8,37356.8,29796.4,21627.5,21994.2,21620.4,16506.1
    Hong Kong,5452.7,6582.6,5999.4,3204.9,3363.3,3412.2,3172.3
    India,1385.5,1461.5,1151.7,871.9,789.8,761.6,643
    Indonesia,1034.3,958.5,934.5,816.8,941.8,836.7,700.6
    Japan,6136.7,5951.4,5693.6,4867.8,5031,5428.3,2384.7
    Mainland China,8976.4,7823.8,6069.7,4515.6,4291,3902.4,3505.5
    Malaysia,1270.8,1219.9,1064.1,806.1,865.7,754.6,623.5
    Philippines,693.5,596.6,501.5,520.3,545.5,434.6,364.9
    Republic Of Korea,2635.2,2195.5,1666,1511.7,1547.6,1572.9,1374.2
    Thailand,1219.9,1446.2,1226.9,882.8,997,869.4,624.6
    United Arab Emirates,1685.3,2034.1,1815.5,1006,825.6,790.3,717.3
  Europe,16222.5,18697,14634.5,11083.2,11068.6,12207.1,10089.1
    France,726,617.1,460.1,449.4,589.7,676.1,525.6
    Germany,2456.6,2496.9,1970.9,1630.4,1672.4,2100,1643.6
    Netherlands,1308.5,1088.7,1089.4,928.9,887.9,906,579.4
    United Kingdom,2981.5,3413.8,2081.6,1496.6,1554.1,1547.6,1300.3
  Oceania,9444.6,10171.5,8065.7,6216.9,5645.9,5271.7,4316.2
    Australia,1952.2,1944,1900,1649.8,1733.1,1778.4,1682.3
  ASEAN,5051.9,5125.8,4441.7,3632.1,4042.6,3514.9,2880.2
  European Union (EU-27),10042.1,11538,9438.1,7281.3,7188.3,8117.2,6459
Information & Communications Services,70078.6,62016.1,58010,44511.2,36021.6,32323.7,30269.5
  America,30819.6,27768.5,29014.2,na,5890.8,4298,7522
    United States Of America,29266.8,26224.4,na,na,5575.1,4011.6,3450.7
  Asia,27513.6,25353.7,22591.8,17883.7,14779.4,11140.5,9972.5
    Hong Kong,4816.3,4443.7,4701.7,3034.2,2666,1874.2,1652.6
    India,3544,3261.9,2828,2549.7,2097.6,1505.7,1678.7
