,,,,,,,,,,,,,,
Theme: Trade & Investment,,,,,,,,,,,,,,
Subject: Trade in Services (TIS),,,,,,,,,,,,,,
Topic: International Trade in Services (TIS),,,,,,,,,,,,,,
"Table Title: Trade In Services By Detailed Services Category, Annual",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data last updated: 24/02/2025,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Million Dollars
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 
Total Trade In Services,997749.8,919117,877252.5,715093.5,590035.1,592824.3,561271,493353.8,431109.3,432922.3,406020.8,365055,327866.3,298227.8
  Exports Of Services,528568.3,481009.2,468190.5,382492.4,300004.6,307215.9,287141.4,241568,211835.8,210622.7,194843.2,177719.3,161769.2,150013
    Manufacturing Services On Physical Inputs Owned By Others,471,490.7,685.5,489.9,236.8,266.9,370.3,247.1,284.8,346.5,424.4,283.2,249.6,260.4
    Maintenance And Repair Services,10820.1,10981,10117.9,8833.5,8172.9,9663.3,9410,7712,8418.5,9315.2,9853.1,10767.2,9053.1,9342.9
    Transport,172971.1,149537.4,189649,144220,93560,94272.1,88888.8,69993.5,59213.4,64097.1,63918.8,57830.9,55586.3,53523
      Sea Transport,157121.1,134636.5,177397.1,138753,86422.5,81537.8,75893.3,58055.1,49356.1,54985.6,54499.1,49440.3,46140.4,44380
        Freight,144840.3,123196.6,166083.3,128886.5,78474.2,74983.4,70183.7,53008.8,44436.4,49595.7,49595.6,44775.6,41724,40237.2
        Passenger And Others,12280.8,11439.9,11313.8,9866.5,7948.3,6554.4,5709.6,5046.3,4919.7,5389.9,4903.5,4664.7,4416.4,4142.8
      Air Transport,14141,12976.8,11386.9,4550.3,6079.8,11620.7,11748.5,10759.4,8941.4,8448.9,8845.9,7890.7,8986,8763.3
      Other Modes Of Transport,407.3,371.6,262.3,201.1,111.2,210.1,382.7,508.9,299.2,99.8,55.4,63.3,82.3,53.1
      Postal And Courier Services,1301.7,1552.5,602.7,715.6,946.5,903.5,864.3,670.1,616.7,562.8,518.4,436.6,377.6,326.6
    Travel,31867.3,27886.1,15719.6,5399.1,7527.2,27754.7,27366.8,27477.5,26190.7,22845.5,24277.4,24063.3,23487.3,22551.2
    Insurance,12649.8,11128.7,11493.3,9133.1,8438,8817.4,9484.8,6710.3,6076.8,5312.7,4241.5,3634.5,3396.6,3035.4
    Government Goods And Services,477.3,464.4,444.3,422,411.9,419.2,413.5,408.9,404.8,397,395.3,391.5,382.8,368.9
    Construction,2100.8,2042.6,1622,1202.7,1271.7,1742.2,1641.5,1032,1363.2,1172.2,1474.4,2135.6,1922.3,1941
    Financial,71582.7,65326.3,56084.6,53089.4,49688.3,45943.9,42840.2,37369,30088.2,28879.7,26664.5,23611.1,20694.6,19128.6
      Explicitly Charged And Other Financial Services,58893.7,52590.9,44998,44808.2,40395.2,35170.8,33328.4,29295.9,22938.3,22268.3,20635.2,18183.2,15503.6,14436
      Financial Intermediation Services Indirectly Measured (FISIM),12689,12735.4,11086.6,8281.2,9293.1,10773.1,9511.8,8073.1,7149.9,6611.4,6029.3,5427.9,5191,4692.6
"    Telecommunications, Computer & Information",41149.8,39306.3,34224.7,31888.3,26826.3,20252.4,20533.1,18560.1,16745.5,12199,10094.6,9552.3,8403.2,6239.9
      Telecommunications Services,4754.6,4525.9,4097.1,3645.8,3684.4,2582.1,2184.2,1975.1,2104.4,1879.5,1891.4,1912.6,1609,1605.1
      Computer Services,33508.1,31914.5,28659.2,26896.1,22479.7,17013.8,17633.9,16008.5,14047.4,9918.2,7786.5,7184.7,6412.7,4319.2
      Information Services,2887.1,2865.9,1468.4,1346.4,662.2,656.5,715,576.5,593.7,401.3,416.7,455,381.5,315.6
    Charges For The Use Of Intellectual Property,26255.8,24176.6,17874.7,16376.9,12865.8,12296.8,12084.4,11138,9734.2,11894.1,4953.5,4272.5,3514.6,3345.4
      Franchises And Trademarks Licensing Fees,2271,2360.1,1685.3,1648.7,1527.6,1966.8,1782.8,1349.8,1385.9,1323.4,1776.3,1665.2,1487.6,1371.5
      Licences For The Use Of Outcomes Of Research And Development,1120.7,1074.8,1143.1,950.8,1344.5,1190.9,1195.9,1462,984.4,4085.5,2171.2,1644.5,1333.3,1292
      Licenses To Reproduce And/Or Distribute Audio-Visual And Related Products,576,562,584,427.4,433.5,874.9,733.1,565.9,422.6,313.4,360,409.8,396,439.1
      Licenses To Reproduce And/Or Distribute Computer Software And Other IP Charges,22288.1,20179.7,14462.3,13350,9560.2,8264.2,8372.6,7760.3,6941.3,6171.8,646,553,297.7,242.8
"    Personal, Cultural And Recreational",4831,4508,4184,3265.8,1066.1,1147.5,1098.6,691.1,752.4,852.8,801.4,636.5,598.6,556.8
      Audio-Visual And Related Services And Others,3299.3,3144.5,2761.9,2368.5,798.1,424.1,323.5,301.6,384.3,490.8,529.4,426.6,360.6,361.4
      Health Services,1445.7,1280,1340.3,793.4,230.7,680.6,733.1,376.2,352.6,349,260.2,196.4,222.4,184.4
      Education Services,86,83.5,81.8,103.9,37.3,42.8,42,13.3,15.5,13,11.8,13.5,15.6,11
    Other Business Services,153391.6,145161.1,126090.9,108171.7,89939.6,84639.5,73009.4,60228.5,52563.3,53310.9,47744.3,40540.7,34480.2,29719.5
      Research And Development,1712.3,1641.5,1431.4,1491.5,1176.9,1007.4,1059.4,1095.3,944.4,1054.5,914.6,1148.6,749.9,658.8
      Professional And Management Consulting,115928.1,109155.3,94718.8,78877,64736.1,58566.7,51957.9,42408.5,35624.1,34761.8,30085.5,25953,20318.7,17396.1
        Legal,1743.4,1693.4,1451.2,1363.8,1255,1122.2,1043,1007.8,870.8,766.8,676.8,643.4,600.1,558.1
        Accounting,828.1,781.7,673.8,504.5,549.2,410.4,353.5,321.1,321.5,307.3,332.2,400.3,407.3,402.3
        Advertising And Market Research,67492.1,61385.2,57572.3,46910.6,34027.4,28382.2,24438.8,18071.5,10820.7,10231.9,7954.3,4770.1,2859.9,1807.2
        Business Management,45864.5,45295,35021.5,30098.1,28904.5,28651.9,26122.6,23008.1,23611.1,23455.8,21122.2,20139.2,16451.4,14628.5
"      Technical, Trade-Related And Other Business Services",35751.2,34364.3,29940.7,27803.2,24026.6,25065.4,19992.1,16724.7,15994.8,17494.6,16744.2,13439.1,13411.6,11664.6
        Architectural,551.8,516.4,308.5,311.6,350.9,385.9,375.5,379.4,351.3,382,389.6,312.5,354.1,302
        Engineering And Technical,12668.6,12151.8,10684.1,11323.5,8272.3,7790.3,5057.7,4294.1,4810.5,5183.1,6021,5059.4,4195.5,3397.2
        Operating Leasing,6722.5,6497.2,5815.7,5455.3,5273.2,5164.9,4887.7,4291.4,5116.8,5883.3,4902.5,3738.2,3117.9,2719.4
