,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Key Data Of Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020), Quarterly, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 02/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2025 4Q ,2025 3Q ,2025 2Q ,2025 1Q ,2024 4Q ,2024 3Q ,2024 2Q ,2024 1Q ,2023 4Q ,2023 3Q ,2023 2Q ,2023 1Q ,2022 4Q ,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q ,1989 4Q ,1989 3Q ,1989 2Q ,1989 1Q ,1988 4Q ,1988 3Q ,1988 2Q ,1988 1Q ,1987 4Q ,1987 3Q ,1987 2Q ,1987 1Q ,1986 4Q ,1986 3Q ,1986 2Q ,1986 1Q ,1985 4Q ,1985 3Q ,1985 2Q ,1985 1Q ,1984 4Q ,1984 3Q ,1984 2Q ,1984 1Q ,1983 4Q ,1983 3Q ,1983 2Q ,1983 1Q ,1982 4Q ,1982 3Q ,1982 2Q ,1982 1Q ,1981 4Q ,1981 3Q ,1981 2Q ,1981 1Q ,1980 4Q ,1980 3Q ,1980 2Q ,1980 1Q ,1979 4Q ,1979 3Q ,1979 2Q ,1979 1Q ,1978 4Q ,1978 3Q ,1978 2Q ,1978 1Q ,1977 4Q ,1977 3Q ,1977 2Q ,1977 1Q ,1976 4Q ,1976 3Q ,1976 2Q ,1976 1Q ,1975 4Q ,1975 3Q ,1975 2Q ,1975 1Q 
GDP In Chained (2015) Dollars,151646.5,148829.8,145301.3,142708.9,143438.2,142712.9,138573.1,137047,136656.2,135054.7,133837.7,132627.6,132695,132618.2,131986.6,131373.9,129255.1,126876,125634.8,125939.9,120067.2,115774.4,106089.1,120717,120790.1,120472.7,120339.4,119447.3,118826.1,119609.8,118630.5,117813.7,117044,115927.9,113216.4,112763.1,112082.4,110169.9,109122.9,107867.1,106774,106800.4,105513.1,104217.8,104651.9,103090.1,102163.9,101105,100377.5,99451.8,98769,96800.8,95917.1,93476.2,94390.1,93556.5,91870.2,91292.4,88981.2,89201,87552.2,84282.5,86693.4,81783.9,77291,76172.4,73327.8,70353.2,72247.5,73949.1,74425.3,76342.4,74448.5,74131,72209.6,70566.9,69557.6,66961.6,65714.2,64987.4,63863.9,61871.1,60391.4,58907.9,58475.2,57157,56744,55875.5,54270.4,52758.6,49921.5,50602,49966.3,50040.6,50000,48589.8,47181.2,46878.8,47929.5,49193.9,49548.7,49242.2,47666.1,46764,45276.7,44901.5,44059.2,42973.1,42225.7,41485.7,41830.6,42144.3,43258.7,43615.3,42937.1,41566.8,40335,39277,39287.4,39337.5,38043.3,37676.2,36239.2,35181.3,35324.4,34809.2,33772.9,33391.2,32391.3,31160.6,30626.7,29362.8,28725.1,27973.8,27242.4,26919.1,26456.1,26244.2,25819.2,25457.6,24863.6,24472.5,24200.6,23950,23001.2,22488.5,22231.9,21030.4,21002.3,20467.2,19936,19161.1,18947.9,18413.2,17794.4,17245.9,16833.6,16413,16156.2,15949.6,15797.1,15967.7,16148.5,16603.2,16413.1,16354.8,16163.5,15973.6,15484.2,15031.8,14726.5,14418.3,14052,13848,13643.7,13429.9,13259.3,13001.6,12723.6,12337.7,11983,11686.6,11432.5,11205.9,11026.3,10575.1,10384.7,10053.3,10028.3,9762.4,9396.3,9177,9103.7,8953.8,8863.5,8683.5,8496.3,8408.2,8247.1,8169.7,7948.1,7836.6,7681.5,7546
  Goods Producing Industries,41881.8,39052.8,36036.1,35738,37351.4,37340.8,34260.1,34187.3,35178.7,34031.8,33930.5,34267.4,34627.7,35166.5,35918.5,35498.4,35025.7,34114.6,33569.7,33190.9,30118.5,30083.4,26811.6,30735.8,29055,29678.3,29839.7,29412.3,30063.7,29920.5,29846.1,29424.1,28936.3,29052.1,27510.9,27386.3,27624.8,25735.9,26366.6,25987.7,25674.8,25655.9,25885.6,25754.2,26449,26477,26230.1,26429.8,26348,25770.9,25529.7,24001.5,24960.1,24571.6,25335.8,25022.1,24798.1,24250.3,24142.7,24612.8,22961.7,22248.3,25102.2,21415.6,19242.8,19673.6,18467.1,16531.3,17879.2,17986.3,17977.1,19835.4,18685.4,19208.2,18365.5,17869.8,18257.4,17234.9,16930.6,16699.4,16695.7,15734.1,15175.5,14377.5,14755.2,14177.5,14395.5,13983.9,13317.2,13090.2,12358.8,12856.2,12393.6,12822.7,13220.7,12435.3,11716.9,11655.4,12196,13046.1,14010,13701.4,12967.4,12606.1,12120.4,12188.6,11849.1,11856.2,11226.6,11068.4,11310.1,11316.5,11659,11495.6,11098,10496.9,10615.4,10270.7,10512.9,10724.6,10361.1,10237.9,9670.4,9251.8,9305.9,9204.1,8937.6,8686.1,8203.7,8003.5,7849.1,7557.5,7541,7238.1,7083.7,7077.9,7015.5,6925.2,6794.2,6861.3,6642.4,6481.7,6359.2,6248.7,6135.1,5978.7,5840.9,5656.6,5610.6,5569.2,5444,5237.9,5142.6,4934.5,4743.8,4584.9,4517.6,4453.2,4455.3,4295,4215.6,4435.6,4513.9,4922.7,4976.2,5048.9,5029,4997.5,4840.8,4630,4455.9,4358.5,4136,4170.1,4134,4146.3,4075.7,3996.8,3941.9,3776.4,3693.3,3600.4,3550.9,3471.8,3426.4,3262.3,3225.6,3147.9,3108,2971.3,2851.9,2771.7,2788.1,2758.7,2756.7,2695.1,2613.2,2626.7,2566.3,2555.3,2474.2,2402.7,2235.7,2207.7
    Manufacturing,34792.7,31875.8,28694.9,28823.1,30406.9,30403.8,27228.1,27466.4,28384.3,27337.1,27321.3,27687.8,28130.4,28595,29711.3,29159.7,29176.6,28218.1,27715.2,27530.9,25338.6,25887.8,23472.4,24735.2,22843.9,23204.3,23555.9,22914.7,23788.2,23469,23638.1,23028.6,22632.1,22744.2,21341.5,21007.8,21270.5,19156.9,19618.9,19419.5,18927,18921,19278.7,19479.9,20135.2,20160.5,20089.1,20362.6,20332.1,19884.9,19799.6,18566.5,18992,18857.3,19668.2,19876.9,19016.5,19030.5,18978.9,20158.8,17372.6,17338.1,19842.1,17036.4,13741.9,15153.3,13765.1,12481.2,13312.7,14048.4,13915.3,16488.3,14757.8,15806.5,14782.1,14715.9,14859.2,14189.2,13763.8,13812,13683.2,12937,12265.8,11606,12003.6,11414.4,11542,11213.1,10551.8,10286.9,9580.5,10138.9,9625.7,9981.1,10313.7,9482.9,8789.5,8600.5,9079.2,9930.8,10828.7,10610.9,9980,9694.5,9110.6,9194.6,8790,8625.6,8011.1,7797.1,7919.8,7895.6,8250.3,8145.2,7941.8,7473.9,7600.3,7425.3,7617.4,7920.1,7705.4,7740.1,7235,6978.4,6916.5,6882.2,6712.3,6451.3,6165.4,6047.4,5952.6,5762.3,5691.4,5472.8,5325.9,5337.1,5312.3,5322.5,5319.9,5400.3,5203.1,5134,4996.6,4899.4,4799,4675.2,4598.1,4396.9,4352.8,4281.3,4182.9,4000,3875.1,3611.5,3427.7,3283.9,3222.4,3112.9,2960.9,2792.7,2660.1,2757,2819.3,2944.6,2974.9,3015.8,3037.8,3026.8,2919.9,2831.1,2720.3,2743.6,2589.1,2693.4,2780.3,2868,2838.8,2860.1,2870.1,2744.4,2674.7,2605.4,2563.6,2505,2482.7,2353.9,2309.5,2255.2,2211.5,2123.4,2001.9,1913.2,1905.9,1856.9,1858.2,1797.1,1739.1,1721.3,1654,1671.7,1608.3,1585.1,1432.9,1439.1
    Construction,5306.8,5325.7,5287,4965,5093.2,5078.3,4981.8,4740,4874.3,4833.3,4717.8,4611.1,4638.1,4653,4410.5,4284.2,4086.4,4058,4039.2,3707.2,3155.5,2169.4,1576.5,4234.6,4780.6,4830.5,4889.3,4888.3,4812.9,4856.9,4765.9,4826.6,4824.6,4751.5,4735.8,4827.5,4837.9,5081.1,5253.7,5052.8,5215.4,5207,5157.6,4866.6,4870.7,4839.6,4750.1,4829.6,4546.4,4453.5,4376.9,4355.8,4364,4354.9,4332.7,4252.2,4097.6,3976.9,3803,3736,3791.6,3797.5,3866.4,3650.5,3798,3545.3,3459.3,3287.7,3146.5,3052.9,2822.4,2491,2472.2,2324.4,2216.8,2186.3,2000.9,1943.6,1832.4,1848.7,1806.8,1731,1741,1799.1,1716.2,1726,1766.1,1821,1854.6,1881.3,1859.1,1804.3,1912,1966.6,2040.8,2179.6,2187.5,2341.4,2405.9,2402.1,2432.1,2362.3,2282.9,2226.4,2297,2315.9,2398,2572.3,2549.9,2658.3,2769.4,2764.7,2752.4,2757.3,2560.4,2431.7,2406.5,2297.4,2335.6,2263.3,2084.1,1986.4,1900.6,1755.9,1842.9,1830.7,1725.6,1744.4,1537.9,1501.2,1441.4,1362.1,1393.1,1340.3,1329.1,1303.3,1265.7,1169.5,1053,1058.5,1018,934.8,955.8,950.6,933.7,905.5,865.1,884,869.3,902.2,903.9,875.1,885.7,951.8,974,941.8,940.1,986.1,1171.2,1160.6,1233.6,1344,1366.1,1625.6,1663.5,1703.4,1677.3,1658.7,1600.8,1482.9,1425.7,1306.2,1240.1,1179.1,1061.1,988.6,936.9,828.3,758.7,723.4,706.5,689.1,686,675.6,638.9,617.2,624.9,604.9,601.2,571.2,574.9,584.1,608.4,651.4,630.8,643.2,613.7,671.7,663.7,645,629.7,598.9,569.2,541.9
  Services Producing Industries,96475.1,95755,95290.5,93432.7,92877.4,92052.4,90951.8,90034.7,88716.5,88233.2,87402.2,86163.2,85940.5,85298.6,84094.7,84025.9,81919.2,80633.7,80017.5,80270.3,77321.2,73739.4,69713.8,77549.3,78813.4,78224.4,77916,77212.1,76729,77203.4,76330.2,75996.9,75465.5,74614.4,73868.4,73175.2,72837.1,72435.5,71152.5,70579.3,70066.4,70395.6,69242.8,68280.9,68344.7,66880.2,66347.3,65165.5,64661.1,64224.5,63676.8,63135.6,61219.6,59560.7,59763.2,58779.5,57878.3,58010.4,55803.5,55333,55373.1,53341.5,52531.7,51210.6,49367,48012.6,46535.3,45689.3,46234.5,47810.3,48137.9,47848.7,46975.7,45887,44886.5,43826.2,42845.3,41632.4,40829.1,40238.1,39180.5,38556.1,37916.2,37275.2,36453.4,35906.1,35355.8,34709.2,34245,33085.8,31145.9,31198.5,31220.4,30847.9,30229.3,29807.7,29363.4,29183.1,29641.6,29613.3,28954.3,28899.7,28221.2,27753.5,27005.1,26629.4,26377.9,25358.8,25563.8,24950.8,25076,25148.3,26060.5,26544.3,26220.5,25708,24635.1,23796.8,23496.3,23338.4,22613.5,22368.7,21661.7,20965.3,21193.6,20777.5,20203,20185.5,19727.7,18818.1,18476.2,17724.6,17194.9,16750.5,16242.9,15986.6,15652.6,15478.9,15286.6,15014.6,14625.2,14397.6,14207.6,14080.8,13208.7,13167.2,13035.3,12163.6,12144.1,11815.4,11444.5,11054.9,10890.7,10646.7,10335.1,10042.2,9758.6,9428.9,9225.2,9217.2,9195,9121.1,9242.1,9171.4,9000.5,8857.7,8711.3,8598.5,8393.7,8239.7,8136.4,7964.2,7947.6,7751,7601.4,7419.6,7285.9,7147.6,6977.5,6818.7,6607.2,6443.6,6283.2,6148.6,6015.9,5813.1,5698.8,5504,5517.2,5420.4,5220.5,5100.8,5020.6,4920.6,4847.1,4764.6,4666.8,4599.7,4513.6,4461.6,4329.3,4308.1,4336,4235.5
    Wholesale & Retail Trade And Transportation & Storage,31605.3,31478.3,31783.6,30648.6,30375.3,30391.6,30069.6,29238.9,28707.6,28720.8,28875.9,28044.4,28203.9,28262.5,27720.5,28100.7,27075.3,26746.6,26971.4,26927.5,25347.2,24001.4,23444.4,24900.7,25773.2,25912.5,26199.8,25792.1,25796.8,26023.1,25707.5,25344.9,25682.6,25030.2,24782.1,24955.5,25197.5,24672,23957.5,23471.7,23646.1,24175.3,24032.5,23720.6,23538.3,23079.6,23059.4,22668.9,22688.4,22374.7,22172.6,22178,21610.1,21121.6,21522.4,20630.2,20263.2,20334.6,19888.4,19367.7,19375.8,18889,18527.8,18066.4,17194,16686,16201.7,15932.9,16399.2,17692.3,18031.1,17926.8,17166,17009,16724.5,16531.5,16116.9,15836.3,15392.9,15138.9,14742.8,14481.4,14280.3,13978.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Information & Communications, Finance & Insurance And Professional Services",40161.9,38026.9,37369.7,36864.4,38549.7,36387,35955.1,35529.9,36924,34904.3,33947.9,33443.7,34583.4,32858.7,33043.5,32095.5,33171.4,31657.7,31327.4,30510.1,30744,28853.4,27558.4,29018.2,29428.4,27871.7,27702.8,26753.7,26722.8,25824.7,25491,25191.4,25392.8,24882.6,24484,23543.7,23691.8,23303.6,23160.9,22701.2,23115.7,22653.5,22499.5,22049.5,22619.8,21675.7,21341.1,20837.8,20607.6,20180.2,20399.4,20115.9,19119.8,18156.3,18276.7,17898.8,17814,17768.1,16855.3,16785.5,17164.6,16299.6,16111.3,15771.9,15556.1,15311.8,14827,14072,14275.6,14744.9,14857,14466.6,14755.4,14354.3,13915,13024.1,12692.5,12236,12150.9,11791.4,11349.6,11140.2,10973.2,10744.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Accommodation & Food Services, Real Estate, Administrative & Support Services And Other Services Industries",26105.3,26249.6,25950.7,25590.3,25308.8,25224.9,24931.5,25051.8,24697,24781.6,24586.3,24352.6,24268.6,23953.7,23450.5,22950.6,22503.6,21950.9,21683.1,22026.3,22016.1,20743.2,18759.5,23069.1,24342.4,24343.3,24134.9,24108.9,24710,25296.9,25234.5,25026.3,24773.4,24680.4,24664.6,24312.2,24250.5,24426.3,24091.2,24116.9,23567.9,23461.2,22823.2,22324.2,22348.8,21972.2,22096.3,21545.3,21434.9,21470.8,21299.8,20748.8,20493.8,20089.9,20091.3,20247.2,19802.9,19841,19270.4,19145.3,18751,18175.2,18125.2,17173.8,16528.3,16083.7,15657.9,15488.8,15544.7,15317.8,15154.8,15029.6,14772.1,14412.5,14154.8,13940,13786.3,13451.2,13200.5,13134.4,12942.2,12892,12621.1,12517.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
