,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Contribution To Growth In Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 14/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
GDP In Chained (2015) Dollars,4.4,1.8,4.1,9.8,-3.8,1.3,3.5,4.5,3.7,3,3.9,4.8,4.4,6.2,14.5,0.1,1.9,9,9,7.4,9.9,4.5,3.9,-1.1,9,5.7,-2.2,8.3,7.5,7.2,11.1,11.5,6.6,6.7,9.8,10.2,11.3,10.8,1.3,-0.6,8.8,8.6,7.1,10.8,10.1,9.6,7.8,6.9,7.4,4,6.1,10.6,13.3,12.4,13.9,13.8,13.5,12.5,10.2,7.8,-3.1,10,7.6,8.1
  Goods Producing Industries,0.9,-0.6,1,3.6,0,-0.3,1.3,1.6,0.6,-0.6,0.9,0.5,0.5,1.8,6.5,0.1,-0.2,2.2,3.6,2.6,3.3,0.5,1.5,-2.9,3.4,2.2,0.1,2,2,3,4.6,3,1.6,2.2,2.9,2.7,4.2,3.2,-0.6,-3.6,3.4,3.6,1.8,3.7,3.3,3.8,2.2,2.1,3.7,1.1,1.2,2.6,5.2,4.7,5.3,4.6,4.6,3.4,2.9,2.3,1.4,2.7,1.9,1.8
    Manufacturing,0.7,-0.8,0.6,2.6,1.5,-0.3,1.3,1.8,0.7,-0.9,0.5,0.3,0.1,1.6,6,-0.9,-1,1.6,3.2,2.6,3.4,0.7,2,-3,3.5,3,-0.2,1,0.7,2.4,3.1,2.4,0.6,1.3,2.4,2.6,4.4,3.9,1.7,-1.6,1.6,0.6,-0.9,2.5,2.5,3.2,2.6,2.1,2.5,-0.4,0.8,3.3,3.4,3.2,3.5,3.4,2.8,2.1,1.9,1.5,0.4,1.8,0.9,0.6
    Construction,0.2,0.2,0.4,0.9,-1.5,0,0,-0.2,-0.1,0.3,0.4,0.1,0.5,0.1,0.4,1,0.7,0.6,0.2,0,-0.2,-0.3,-0.6,0,-0.2,-0.8,0.1,0.9,1.2,0.5,1.3,0.6,1,0.8,0.4,0.1,-0.3,-0.9,-2.3,-2,1.6,2.7,2.6,1.1,0.6,0.4,-0.6,-0.2,0.8,1.2,0.3,-0.8,1.2,1,1.3,0.7,1.1,0.7,-0.1,0.8,0.8,0.9,0.4,1.2
    Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0,0.3,0.1,0.4,0.1
    Other Goods Industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,0,0.1,0,0,0,0,-0.1,0,0.2,0.2,-0.1,-0.1,0.2,0.3,0.1,0.2,0.3,0.1,0.6,0,0,0,0.2,0.1
  Services Producing Industries,3,2.3,3.4,5.6,-3,1.3,2,2.3,2.1,2.8,2.9,4.4,3.5,4.4,7.8,-0.1,2.9,6,5,4.4,6,3.8,2.2,2,4.8,2.7,-2.1,5.6,5,3.7,6,7.7,4.6,4.4,6.5,6.4,6.4,6.7,1.5,2.5,4.4,3.9,5.2,6.2,6.3,5.1,5.3,4.3,3.7,2.7,5,7.4,7.1,7.4,7.3,8.1,8.5,8.9,6.3,4.2,-4.8,7.1,5.1,5.9
    Wholesale & Retail Trade,1,0.2,0.7,1.9,-0.4,0.2,0.5,0.4,0.2,0.6,0.7,1.1,1.3,1.4,2.9,-0.6,0.6,1.3,1.8,1.4,2.3,1.7,0.8,-0.1,2.4,0.8,-1,0.9,0.5,1.5,1.8,2.6,-0.1,1.3,1.3,1,2.1,1.2,-0.1,-0.5,0.7,0.7,0.7,0.6,0.8,1,1.2,1.6,0.2,-0.1,2.4,2.3,1.9,1.9,2,2.7,3.1,4.7,3.7,0.8,-5.8,4.3,2.1,3.1
      Wholesale Trade,1,0.2,0.6,1.7,-0.1,0.2,0.5,0.4,0.1,0.5,0.6,1.1,1.3,1.3,2.9,-0.5,0.7,1.2,1.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Retail Trade,0,0,0.1,0.2,-0.3,-0.1,0,0,0.1,0.1,0.1,0,0,0.1,0,-0.1,0,0.1,0.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
